Time,ToA_mean,ToA_std,Amplitude
56.25,397.0,0.0,100
56.25,331.0,0.0,200
56.25,303.0,0.0,300
56.25,287.0,0.0,400
56.25,275.0,0.0,500
56.25,267.0,0.0,600
56.25,261.0,0.0,700
56.25,258.0,0.0,800
56.25,253.0,0.0,900
56.25,250.0,0.0,1000
56.25,247.0,0.0,1100
56.25,245.0,0.0,1200
56.25,244.0,0.0,1300
56.25,242.0,0.0,1400
56.25,241.0,0.0,1500
56.25,240.0,0.0,1600
56.25,238.0,0.0,1700
56.25,237.0,0.0,1800
56.25,237.0,0.0,1900
56.25,237.0,0.0,2000
56.25,236.0,0.0,2100
56.25,236.0,0.0,2200
56.25,236.0,0.0,2300
56.25,235.0,0.0,2400
56.25,236.0,0.0,2500
56.25,235.0,0.0,2600
56.25,236.0,0.0,2700
56.25,235.0,0.0,2800
56.25,235.0,0.0,2900
56.25,236.0,0.0,3000
56.25,235.0,0.0,3100
56.25,235.0,0.0,3200
56.25,236.0,0.0,3300
56.25,236.0,0.0,3400
56.25,236.0,0.0,3500
56.25,235.0,0.0,3600
56.25,236.0,0.0,3700
56.25,236.0,0.0,3800
56.25,237.0,0.0,3900
56.25,237.0,0.0,4000
